keyLength        |encrypt(ms)      |decrypt(ms)      |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |78.00            |
256              |69.00            |80.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |80.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |80.00            |
256              |69.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |67.00            |79.00            |
256              |67.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |78.00            |
256              |69.00            |78.00            |
256              |68.00            |80.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |67.00            |80.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |69.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |80.00            |
256              |68.00            |79.00            |
384              |163.00           |184.00           |
384              |163.00           |184.00           |
384              |164.00           |185.00           |
384              |163.00           |184.00           |
384              |164.00           |184.00           |
384              |164.00           |186.00           |
384              |178.00           |200.00           |
384              |174.00           |194.00           |
384              |176.00           |201.00           |
384              |175.00           |197.00           |
384              |178.00           |201.00           |
384              |179.00           |200.00           |
384              |176.00           |197.00           |
384              |175.00           |200.00           |
384              |176.00           |197.00           |
384              |174.00           |198.00           |
384              |177.00           |198.00           |
384              |176.00           |197.00           |
384              |173.00           |197.00           |
384              |176.00           |197.00           |
384              |175.00           |199.00           |
384              |174.00           |196.00           |
384              |176.00           |197.00           |
384              |173.00           |198.00           |
384              |178.00           |195.00           |
384              |176.00           |198.00           |
384              |173.00           |196.00           |
384              |176.00           |198.00           |
384              |172.00           |197.00           |
384              |176.00           |196.00           |
384              |176.00           |195.00           |
384              |174.00           |196.00           |
384              |174.00           |198.00           |
384              |177.00           |198.00           |
384              |177.00           |196.00           |
384              |177.00           |196.00           |
384              |176.00           |201.00           |
384              |179.00           |203.00           |
384              |175.00           |199.00           |
384              |177.00           |202.00           |
384              |178.00           |200.00           |
384              |177.00           |196.00           |
384              |177.00           |197.00           |
384              |171.00           |191.00           |
384              |169.00           |189.00           |
384              |169.00           |190.00           |
384              |172.00           |190.00           |
384              |169.00           |191.00           |
384              |170.00           |190.00           |
384              |169.00           |189.00           |
384              |168.00           |191.00           |
384              |176.00           |198.00           |
384              |177.00           |197.00           |
384              |176.00           |193.00           |
384              |170.00           |197.00           |
384              |172.00           |194.00           |
384              |175.00           |198.00           |
384              |173.00           |194.00           |
384              |169.00           |190.00           |
384              |169.00           |191.00           |
384              |173.00           |193.00           |
384              |173.00           |195.00           |
384              |174.00           |194.00           |
384              |174.00           |195.00           |
384              |174.00           |194.00           |
384              |176.00           |194.00           |
384              |174.00           |195.00           |
384              |172.00           |194.00           |
384              |173.00           |198.00           |
384              |173.00           |192.00           |
384              |173.00           |195.00           |
384              |172.00           |193.00           |
384              |172.00           |192.00           |
384              |175.00           |195.00           |
384              |175.00           |193.00           |
384              |174.00           |195.00           |
384              |174.00           |195.00           |
384              |174.00           |211.00           |
384              |186.00           |190.00           |
384              |168.00           |190.00           |
384              |168.00           |188.00           |
384              |168.00           |189.00           |
384              |168.00           |193.00           |
384              |175.00           |194.00           |
384              |173.00           |195.00           |
384              |173.00           |194.00           |
384              |174.00           |195.00           |
384              |172.00           |194.00           |
384              |175.00           |194.00           |
384              |174.00           |193.00           |
384              |173.00           |193.00           |
384              |170.00           |193.00           |
384              |170.00           |194.00           |
384              |173.00           |193.00           |
384              |173.00           |196.00           |
384              |171.00           |192.00           |
384              |168.00           |195.00           |
384              |175.00           |193.00           |
384              |175.00           |197.00           |
384              |176.00           |198.00           |
384              |175.00           |195.00           |
384              |175.00           |194.00           |
384              |174.00           |194.00           |
384              |172.00           |193.00           |
384              |170.00           |225.00           |
384              |171.00           |193.00           |
384              |174.00           |195.00           |
384              |174.00           |195.00           |
384              |173.00           |196.00           |
384              |175.00           |194.00           |
384              |175.00           |194.00           |
384              |176.00           |196.00           |
384              |172.00           |196.00           |
384              |174.00           |196.00           |
384              |175.00           |197.00           |
384              |173.00           |194.00           |
384              |174.00           |193.00           |
384              |172.00           |197.00           |
384              |173.00           |192.00           |
384              |178.00           |193.00           |
384              |173.00           |194.00           |
384              |172.00           |192.00           |
384              |170.00           |197.00           |
384              |173.00           |196.00           |
384              |173.00           |194.00           |
384              |174.00           |192.00           |
384              |173.00           |195.00           |
384              |175.00           |196.00           |
384              |173.00           |194.00           |
384              |170.00           |196.00           |
384              |173.00           |196.00           |
384              |171.00           |195.00           |
384              |173.00           |195.00           |
384              |171.00           |196.00           |
384              |175.00           |195.00           |
384              |175.00           |195.00           |
384              |174.00           |193.00           |
384              |172.00           |197.00           |
384              |173.00           |192.00           |
384              |172.00           |197.00           |
384              |173.00           |191.00           |
384              |173.00           |192.00           |
384              |175.00           |194.00           |
384              |175.00           |195.00           |
384              |174.00           |193.00           |
384              |174.00           |196.00           |
384              |173.00           |193.00           |
384              |173.00           |195.00           |
384              |178.00           |200.00           |
384              |177.00           |199.00           |
384              |174.00           |195.00           |
384              |174.00           |195.00           |
384              |174.00           |197.00           |
384              |174.00           |196.00           |
384              |174.00           |193.00           |
384              |173.00           |194.00           |
384              |173.00           |194.00           |
384              |174.00           |196.00           |
384              |179.00           |193.00           |
384              |175.00           |195.00           |
384              |174.00           |195.00           |
384              |172.00           |196.00           |
384              |175.00           |196.00           |
384              |175.00           |194.00           |
384              |173.00           |193.00           |
384              |174.00           |194.00           |
384              |175.00           |196.00           |
384              |175.00           |197.00           |
384              |173.00           |195.00           |
384              |175.00           |196.00           |
384              |175.00           |194.00           |
384              |174.00           |194.00           |
384              |170.00           |193.00           |
384              |173.00           |192.00           |
384              |172.00           |194.00           |
384              |172.00           |194.00           |
384              |170.00           |195.00           |
384              |171.00           |195.00           |
384              |172.00           |191.00           |
384              |174.00           |194.00           |
384              |172.00           |194.00           |
384              |173.00           |192.00           |
384              |172.00           |192.00           |
384              |174.00           |194.00           |
384              |173.00           |192.00           |
384              |171.00           |194.00           |
384              |175.00           |194.00           |
384              |176.00           |192.00           |
384              |174.00           |194.00           |
384              |173.00           |196.00           |
384              |170.00           |194.00           |
384              |174.00           |194.00           |
384              |174.00           |194.00           |
384              |173.00           |192.00           |
384              |173.00           |191.00           |
384              |174.00           |193.00           |
384              |173.00           |194.00           |
384              |173.00           |192.00           |
